"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","period"
0.0463333333333333,20.624687370386,41.7039789300331,89862.1088733045,132319.026105502,95070.0758942594,0.494549630503796,0.447880436512655,38379.1418869404,493,2507,45,75,307255.258431356,0,19799.1572668414,6079.1608111473,-11960.1746146375,0,5276.27293674341,0,507,6079.1608111473,12.9139957896006,92.0988639927448,27.3086429303141,21.8469143442513,2687.28824980528,99341.2625140783,2382.05718165989,9479.15364077382,5035.43246210634,1.36107551144289,393,0.222369151721892,1.70728877043513,-8.20056513094862,-7.88968512527485,52634.3934485095,12.080374291415,195.154056840042,0.993528951389439,0.980155197548471,3000,0,1759.82184105662,11732.1456070441,8.13793103448276,5,0.701825557809331,243,91621.9307143611,0.019207430222607,21
0.0606666666666666,20.2204811682916,39.007698897385,86902.6105487533,130944.121957781,89862.0600719356,0.51837154561422,0.446100568462754,37121.9374642453,466,2534,45,72,316734.392745201,0,19096.9885468118,7802.81278153558,-9479.13431384541,0,5270.25494977754,0,645,7802.81278153558,12.253787245094,90.8515440230812,26.4579010636115,21.1663208508892,2633.33867393215,96466.9842185645,2473.02422202176,9564.3736698112,4426.52740757045,1.34250953031327,343,0.250925907284078,1.5486892478417,-9.28955460493134,-8.49275918562858,56113.6526710337,13.0565129166303,168.010559361931,1.01638203953292,1.00429729348081,3000,0,1815.04145143081,12100.3877540325,8.24678111587983,5,0.708154506437768,234,88717.6520001841,0.0204586281366762,22
0.0646666666666667,19.6929970033464,39.1642676184491,84152.5976024515,128965.602888932,84693.3142522389,0.502830723025435,0.439720850716812,34571.7091038822,430,2570,45,81,324933.04059013,0,18239.6306841757,8179.88035416555,-8198.64784492917,0,4791.33436208629,0,689,8179.88035416555,11.7830418994168,88.4278845802549,25.1275551060985,20.1020440848788,2702.46066143617,93090.7217333721,2376.92997709779,8938.12413092057,3778.77851431119,1.34015607109044,318,0.274708115637517,1.50132501952936,-3.05834294248123,-6.12354405904344,56052.2182124373,13.1170777461098,161.241531263359,0.998870503839201,0.992317920088376,3000,0,1861.10248508095,12407.3499005397,8.22325581395349,5,0.725581395348837,226,86013.7000875325,0.0216372796797136,23
0.109,19.0873311087545,38.004075080033,78873.6075415603,144105.98393626,63707.217677595,0.502244326919111,0.383539741280084,33160.824454463,393,2607,45,82,329010.843784144,0,16638.5382195271,10667.8986280391,-4077.80319401466,0,4331.21802365012,15466.2764814473,904,10667.8986280391,16.9166345079224,91.7093175454974,24.8203050802099,19.8562440641679,2527.03622497147,89258.708894168,2348.6615239602,10385.1013526077,3166.74651834329,1.29946367933436,283,0.305830596893819,1.37740943676182,-8.25374793303527,-4.21384159731549,57262.2819595211,13.8574127629236,141.857662282322,1.00923404686343,1.00224410225206,3000,0,1892.83639747336,12618.909316489,8.42748091603053,5,0.725190839694656,207,80766.4439390337,0.0234359259261453,24
0.133333333333333,18.7497534984232,37.6083538771983,77823.5306406483,144410.738116531,68627.4844409868,0.498552889595923,0.378994220278105,35985.9029575918,357,2643,45,81,330197.21562348,0,16170.5222044646,13064.6768709962,-1186.37183933522,0,4350.14056514872,0,1105,13064.6768709962,16.7531652742909,91.0128292220337,24.6957645336146,19.7566116268917,2522.23647008946,88922.5311087062,2364.43560914851,11099.0004680579,2496.18463093285,1.28726644283395,258,0.350824345524237,1.35240243505155,-1.81550968382073,-2.21324713632719,57544.6543304117,13.8640341162271,120.461789494219,1.01475049669653,1.01014062593643,3000,0,1919.47349413318,12796.4899608878,8.42857142857143,4,0.725490196078431,184,79743.0041347815,0.0240707446999223,25
0.165666666666667,18.1386557371454,34.6430925068744,73360.8219768515,147661.206923045,62457.9711068557,0.523586505262082,0.369827960756535,29653.62513182,307,2693,45,95,327419.576094411,0,15168.9107987216,16009.283677373,2777.63952906832,0,4195.7257764391,0,1364,16009.283677373,17.0905560195408,91.4326321542849,23.5990965098003,18.8792772078403,2491.62453649843,86354.0739281405,2492.67798222704,12993.251951289,1809.22612018911,1.20101266810008,221,0.396337329190213,1.37063210550585,1.34794717769111,-4.02002860236036,53523.3500529865,13.2337887492071,113.640653793544,1.01350544469357,1.01366674902672,3000,0,1937.26665041693,12915.1110027795,8.17589576547231,4,0.749185667752443,155,75298.0886272684,0.0257279658187149,26
0.266666666666667,17.5693506939548,31.0431020969177,67341.5335857747,154310.948634867,56107.4657512858,0.565966334134476,0.359522518299169,25199.7335852838,261,2739,45,91,319243.656363202,0,13579.0091602364,19812.6830048475,8175.91973120892,0,3751.56722951871,0,1620,19812.6830048475,17.9946605796728,93.742838041974,24.9644176776841,19.9715341421473,2164.18600834405,84236.1106565588,2713.52103902408,16894.577070784,1336.42032785206,1.09623792069402,183,0.433228469213365,1.38041043754855,0.713417700010144,-3.94686597748912,48783.70356672,12.7276281141107,94.4016664615516,0.984821477264591,0.984335401150197,3000,0,1942.24588659785,12948.3059106524,8.32183908045977,4,0.739463601532567,121,69283.7794723726,0.0280331976891119,27
0.294666666666667,16.9733527776028,26.9992878917366,64922.2074946672,161421.866408422,52168.7948299595,0.628659275965483,0.351922554972314,24436.5966066226,233,2767,45,73,309410.076019791,0,12960.5701718502,20851.812646704,9833.58034341059,0,3705.57832693511,0,1712,20851.812646704,18.7880411476153,96.5859744396507,25.2735996291819,20.2188797033455,2047.76219309248,83857.5390511603,3105.91669630019,18935.3315564931,846.490397042835,0.991224934860849,163,0.472098970123807,1.21348775265044,-12.0922502726471,-4.24692115857218,53500.5049312344,13.9872468762296,85.8166100271226,0.989174674610357,0.988567568868211,3000,0,1942.33786855684,12948.9191237122,8.01287553648069,3,0.755364806866953,84,66864.5453632241,0.0290488458121654,28
0.388,16.2707131478712,25.3609806499859,59719.9711835668,169768.556895051,46333.1093683295,0.641564826393267,0.345110413743555,20860.207640883,202,2798,45,76,295465.517622117,0,11762.1919734933,23773.3129562376,13944.5583976745,0,3951.82280083978,0,1913,23773.3129562376,20.3608245353242,100.688414851476,25.2850270987493,20.2280216789995,1797.58809793876,82020.3401985792,3234.11548356765,22300.3690150124,441.585974286184,0.962247624128957,140,0.504322314379386,1.11776862981007,-7.88793480867904,-5.59502169791128,53427.8468646187,14.5564231397655,56.1169089019953,0.994953955167075,0.994400529633035,3000,0,1933.43741493019,12889.5827662013,7.36138613861386,2,0.787128712871287,64,61653.408598497,0.0313597813791812,29
0.456666666666667,15.3755345869598,22.9857279425317,55384.5106769484,179543.397691655,43026.6963144274,0.668916582733482,0.334819327928084,19069.2194814325,182,2818,45,65,279127.778638961,0,10742.3797125359,25162.7853036641,16337.7389831559,0,3810.6870325782,0,2014,25162.7853036641,21.9150236292335,104.356172301834,25.3122487095428,20.2497989676342,1597.28459352451,80228.7690264616,3490.37321015229,24844.2583495132,303.14979297686,0.974664248591908,125,0.488075235427992,1.08070581866182,-3.31578558923604,-7.49645588620363,51248.4616262434,14.2273080439212,55.5138633883436,1.00504358132477,1.00231387375331,3000,0,1917.3333920277,12782.222613518,6.71978021978022,2,0.818681318681319,47,57301.8440689761,0.0334602389012079,30
