"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","lg_debt_repay","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","bank_NW","bank_R","bank_new_loans","bank_dep_int_total","bank_loan_int_total","bank_profit","bank_dividend","bank_bad_debt","bank_headroom","total_M","sfc_check","period"
0.042,12.5513086043043,19.6077287097176,20889.8363765566,67823.7062720671,-6987.7740162074,0.640120474437401,0.2644471972868,36.80766562622,232,1268,37,32,59482.4480220866,95376.5829986248,3323.29761999382,726.860965619717,-1584.61742693181,486.615219380739,1946.46087752296,1607.96804397174,0,122,726.860965619717,22.3534986620812,71.3334808821029,13.5579673398603,10.8463738718882,1384.99673453611,26025.7932294385,1327.32320069994,5135.95685288189,1655.77974690731,0.64486918537273,124,0.417763564954024,1.09297639923001,3.98510354911115,1.32405953789109,19112.7973040162,11.4836044155634,0,1.0006453124891,1.00021728675331,1500,0,525.204008061552,1829.31090652794,3.33620689655172,3,0.974137931034483,75,21415.0403846181,0.0245250066602159,-1245.43264478845,34958.4428157672,0,147.316569744289,487.18637281287,339.869803068581,0,0,0,120318.380277946,34958.4428157672,21
0.0366666666666666,12.773870381898,20.1954331920957,21284.6689604652,67886.6193642288,-7015.47182209746,0.632512819130692,0.264879803516947,35.5807434386793,240,1260,37,29,59123.0098861818,93469.0513386523,3377.11454320821,862.827280211124,-1488.61107604558,476.882914993124,1907.5316599725,1603.98629613902,0,143,862.827280211124,22.5441411581201,71.577460604912,13.6386158515745,10.9108926812596,1398.91216878272,26299.4712690978,1302.24843502694,5014.80230863256,1691.60099325021,0.654218540921736,143,0.40928156983191,1.10029623855993,0.669716137976906,1.44491865884349,19344.4894334299,11.6094829139982,0,1.00019768797258,0.999748050729655,1500,0,548.793271958381,1906.70108836195,3.55,3,0.945833333333333,81,21833.4622324236,0.0251354213141423,-915.607740684371,37654.2177268271,0,147.610125873443,477.435029977517,329.824904104074,0,0,0,119994.157428313,37654.2177268271,22
0.0213333333333333,12.9376455448883,20.4992628321348,22040.8636172439,67632.128829162,-6236.4813364246,0.631127355692379,0.263421600986691,34.39471865739,245,1255,37,32,59069.4661347761,91599.6703118793,3464.97595766184,668.906108978803,-1756.71426548119,467.345256693262,1869.38102677305,1650.26403027653,0,110,668.906108978803,22.967886188248,71.3168942752299,14.0784880573025,11.262790445842,1435.20978279033,26719.4070445648,1303.43258015499,4678.54342732088,1726.12729873682,0.67459947653455,150,0.40423628654311,1.11151647505271,1.01974687357573,0.898296965172187,19829.5428920193,11.6396345310803,0,1.0003682505203,1.00047123126152,1500,0,572.010326508586,1984.61483182695,3.75918367346939,3,0.942857142857143,75,22612.8739437525,0.0252957818599887,-595.764418077559,39622.7957020495,0,148.03564523803,467.878967844842,319.843322606812,0,0,0,120465.113627514,39622.7957020495,23
0.0366666666666666,13.114805040966,20.7857177906868,21376.2151805207,68777.5183568268,-7294.56058928568,0.630952713446448,0.262425110277487,33.248228035477,243,1257,37,39,58636.9359047934,89767.6769056417,3272.32084408135,878.544332853784,-1340.39371012009,457.998351559396,1831.99340623759,1400.27597896602,893.725462608284,141,878.544332853784,23.3592400400239,72.2834372514951,14.3078595284603,11.4462876227683,1413.9752992412,26853.18515539,1291.90559718952,5476.96997486931,1778.60683568029,0.653631036121047,139,0.364683235774382,1.10176499609569,-0.87731303816837,-0.304703101107306,19401.7919032383,11.9034504521751,0,1.00037038021339,1.00037095323315,1500,0,595.384449548084,2049.00013243967,3.8477366255144,3,0.925925925925926,89,21971.5996300688,0.0270979109201172,-284.91863512649,41536.6006308968,0,147.668489388189,458.514272339257,310.845782951069,0,0,0,120119.893672335,41536.6006308968,24
0.0326666666666666,13.2463552127271,21.1392296076243,21487.5837597692,69182.3698212044,-6958.78363258895,0.626624312172169,0.26299752656492,202.903821203574,237,1263,37,43,58408.2973329582,87972.3233675289,3293.70802677925,722.091572146334,-1508.0780303728,448.838384528209,1795.35353811283,1392.8573262101,0,115,722.091572146334,23.3398910126116,72.6383320114394,14.410057314899,11.5280458519192,1402.70223891324,27305.8527653026,1291.71465905523,5818.26900553339,1712.65311511789,0.661114057737147,146,0.376660711927993,1.09839614362715,-0.305768696634479,0.0761350547598783,19562.6904595753,12.0597247992739,0,1.00037812849472,1.0006036766733,1500,0,614.7000397319,2111.23552715665,3.86497890295359,3,0.928270042194093,82,22102.2837995011,0.0278116074025696,16.168865314728,43915.3266675704,168.862588398623,148.249607507523,449.337107948741,301.087500441218,0,0,0,120631.883521574,43915.3266675704,25
0.036,13.2708100219759,21.2653514933736,22094.4324564388,69026.2475846576,-1733.90985322536,0.62405787301993,0.266046614227277,3761.72796788113,232,1268,37,42,58178.2683205799,86212.8769001783,3310.18897948759,765.94754686368,-1471.00915763927,439.861616837644,1759.44646735058,1455.88548137103,0,121,765.94754686368,22.9823930215586,72.9366212107593,14.4032437829217,11.5225950263373,1415.09895386846,27417.9809791495,1289.32648903984,5323.54852271063,1669.23106919007,0.675619734378256,129,0.37468159516535,1.07609983565091,-2.02989678228632,0.620567811516639,20531.9541221512,12.3323223202136,0,1.00072813321716,1.00090451690068,1500,0,633.370658146994,2171.18319977319,3.89655172413793,3,0.913793103448276,85,22727.8031145858,0.0278676586097545,310.503374038223,44411.3197387379,3678.38835427422,148.570665432203,442.905174155698,294.334508723495,0,0,119.564207596663,125470.606052012,44411.3197387379,26
0.0313333333333333,13.4295898022714,21.457650873244,21418.1325042905,69187.1970679889,-3117.83627866597,0.625864866643766,0.266252775329693,2114.39783942491,229,1271,37,40,58345.8579995573,84488.6193621747,3497.62643926438,581.538146171096,-1833.66894866043,431.064384500892,1724.25753800357,1540.09137023205,0,95,581.538146171096,22.8129519126866,72.9647122574919,14.1338425567371,11.3070740453897,1408.25698768737,27292.6369842345,1271.9303313051,5874.50447994399,1656.67462937682,0.665224926326863,140,0.379601124781013,1.10379764375792,2.57390691731283,1.24047206413711,19404.0389788945,12.1667135984725,0,1.00045791969071,1.00087936635774,1500,0,651.354959931958,2237.50536174775,3.91703056768559,3,0.903930131004367,67,22069.4874642225,0.0295138235986626,103.095885998802,46852.7394250956,0,148.001858574713,463.737550510953,315.73569193624,0,523.143179975661,0,124415.21878888,46852.7394250956,27
0.03,13.5564747578097,21.6663754346353,22271.1832583704,69106.7802102693,-2320.48408764713,0.625691860584057,0.271563204144888,2934.38755524839,236,1264,37,30,58318.2837651517,82798.8469749312,3495.06470376665,797.517703593099,-1603.85229483835,422.443096810874,1689.77238724349,1621.24109274584,0,126,797.517703593099,22.4768362136806,73.4845742339185,14.6041234538087,11.6832987630469,1410.45541989053,27648.8803432398,1276.11932261826,5377.69708486933,1685.23619807124,0.677757167354152,141,0.371311937316504,1.14510076542538,3.74191065735954,1.62636344793565,19449.1034595521,11.8386740862703,0,1.00035826860858,1.00077009626544,1500,0,671.251608524325,2300.3833288487,4.08898305084746,3,0.898305084745763,81,22942.4348668948,0.0292580806012409,241.282274507716,48549.376354773,1695.60039478237,149.002811871779,442.249517359335,293.246705487556,0,155.060316978642,81.640876098063,125104.579887774,48549.376354773,28
0.0306666666666666,13.8195368004404,22.1678985966112,22976.5980724875,68641.2635366723,362.906151071742,0.623403104277689,0.269468218274334,5432.12755616892,242,1258,37,31,58400.9295695916,81142.8700354326,3553.78601103032,769.372317327697,-1680.30446017336,413.994234874656,1655.97693949862,1561.96801895998,0,120,769.372317327697,22.3309731513276,72.6186458593005,14.8734844369806,11.8987875495845,1418.53777023707,27876.2608015966,1257.50578838618,4899.66272910906,1736.27018950629,0.685015432271709,144,0.369324069633172,1.17054728881844,2.22220822493397,1.93396480565379,19628.9362181003,11.8060474211084,0,1.00016348787514,1.00050643460161,1500,0,690.114998654609,2363.05346295778,4.1900826446281,3,0.909090909090909,87,23666.7130711421,0.0291597315005309,446.847663337272,48747.7498764235,3060.05834435339,149.334483699115,451.877296585094,302.542812885979,0,96.977424056423,153.468235546978,127405.099257336,48747.7498764235,29
0.0253333333333333,14.0911851733657,22.8297630815089,23126.063917673,68372.7954121896,-1235.50176205004,0.617228708114757,0.278482403374578,3988.81202127225,244,1256,37,35,58493.4949367601,79520.012634724,3492.85927056526,721.207043193191,-1657.02183830757,405.714350177163,1622.85740070865,1504.86153282038,0,111,721.207043193191,21.5100260815997,73.2811458130609,15.148371168604,12.1186969348832,1427.95940495025,28241.0715078128,1237.02867204464,5115.0075901398,1747.31466637127,0.700959642212566,148,0.36253792735144,1.18955332728412,1.62368822235821,0.805155620107818,19440.9644252539,11.8457784532766,0,1.00048295878484,1.00059469516736,1500,0,708.916038887333,2419.54375333815,4.30737704918033,3,0.909836065573771,86,23834.9799565603,0.0297426740101878,191.300888928268,50960.1837833578,0,150.004251416698,467.336085279083,317.331833862385,0,572.878608271388,0,125630.7885869,50960.1837833578,30
