"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","period"
0.22737819025522,12.6342809582579,22.0181750521605,18777.0767974858,26619.3128649143,67266.7411560104,0.573811450237253,0.416031193673364,3855.57803885724,93,1200,32,38,119480.726934781,0,3701.96933702745,2651.11172775516,547.883854323357,0,386.908003666609,0,425,2651.11172775516,6.07866736580838,41.1102914758751,13.584671720771,10.8677373766168,927.97796356474,20301.954323942,922.054360810883,1524.87752645612,368.751503803427,0.74304280158957,26,0.758913459398983,0.755652085669527,15.5599660234112,2.38586439922273,24848.8387097468,16.7197063276331,57.8853975834968,0.982890698922089,0.977710547895441,1293,3,1598.74146359564,3996.8536589891,20.1505376344086,5,0.526881720430108,99
0.268518518518518,11.9841188431222,21.1532764729134,17827.5767312807,24744.2842236537,68723.215998046,0.566537238733097,0.4244625366865,3073.48559803568,93,1203,32,32,118563.714677115,0,3554.72393766318,2881.83732616034,917.012257666283,0,391.207290154341,0,461,2881.83732616034,5.63927379573813,38.7182052581218,13.3680258992813,10.694420719425,856.962906055817,19838.1184209606,937.827217753387,2010.54168967985,379.120101652328,0.757971091074846,28,0.703682488848263,0.727055360288433,-3.7843772184862,0.986527639552359,24520.2466070923,16.4830898686558,62.1444636785014,0.98213223752847,0.975863563821371,1296,3,1589.89886916912,3974.7471729228,20.6774193548387,6,0.526881720430108,100
0.26481909160893,11.6221334871858,20.7613763313825,17060.1373764301,23661.4569252889,70485.6098843899,0.559795906672044,0.431637344482095,3029.8148039095,99,1200,32,26,117147.518365277,0,3359.65682991759,3198.25607944653,1416.19631183796,0,331.641124865592,0,523,3198.25607944653,5.29648490764545,37.3406600421026,13.2431330566864,10.5945064453491,852.140395615173,19237.4752692585,926.599227440404,2177.33789282849,413.243880878186,0.766596465591225,37,0.66805428906911,0.724238926678367,-0.387375399990064,3.63181728356875,23555.951976614,16.0473747807085,64.2648406811337,0.983389491952097,0.979458782621934,1299,3,1577.59706230902,3943.99265577254,19.5151515151515,5,0.565656565656566,101
0.235023041474654,11.6178323796259,20.4941018176402,16870.1034717359,22788.5351670981,72725.5817743799,0.566886633188573,0.431915935825374,3744.77434392564,105,1197,32,26,115935.494626272,0,3389.1580328713,3034.68140202514,1212.02373900483,0,329.389701717384,0,511,3034.68140202514,5.11804611663073,35.8675848735156,13.1415022920943,10.5132018336755,885.138972272934,19045.3023470376,929.306515430914,2175.19887530171,452.350974001389,0.767921700987948,40,0.649936247434016,0.695542056851476,-3.96234844190241,-1.12429953042773,24254.6130827834,16.7032780623167,53.0142859380217,0.985549737296201,0.981416072644665,1302,3,1566.50036985099,3916.25092462748,17.9904761904762,2,0.60952380952381,102
0.274329501915709,11.5659521318442,20.5711401050153,16259.2359930841,21946.8962592696,74539.6584753019,0.562241668317858,0.439976112350711,3637.86358670319,104,1201,32,33,114429.204878108,0,3282.31264529918,3234.78078919902,1506.28974816427,0,351.130652407388,0,547,3234.78078919902,4.94073795634969,34.896699874027,12.7063548713975,10.165083897118,829.194704869092,18357.5364595434,892.392758292852,2098.3004664593,453.125735454234,0.772399199738503,41,0.66386687396609,0.770196126124694,10.7332214548113,-1.37862230222209,21110.5138568974,15.0168921129729,50.7956469283653,0.984335549571379,0.980638071512778,1305,3,1553.82160426443,3884.55401066106,18.7211538461538,3,0.605769230769231,103
0.30045871559633,11.8035571359248,21.0355882283556,16339.4178585303,20600.7192702907,76965.38908773,0.561123226400383,0.446176631549192,3624.26027463316,101,1207,32,35,113048.309680136,0,3240.97326261951,3080.91847128741,1380.89519797149,0,357.718361798861,0,532,3080.91847128741,4.80383688388563,33.2357908795538,12.7142964339878,10.1714371471903,807.23381263058,18096.1433703163,860.263244073345,1756.72551178599,408.557894108556,0.77904267045379,31,0.728026534331229,0.706881244386495,-8.22061804657121,-0.856382961846709,23114.7989684057,16.698076557639,58.8500131927396,0.984674052212996,0.980406406826175,1308,3,1540.94998930359,3852.37497325899,19.2970297029703,4,0.584158415841584,104
0.33257055682685,11.3837646217206,20.2841178421832,15683.1348353523,19345.3116773068,78659.0650148926,0.561215661942507,0.449885323492734,2814.2862435651,97,1214,32,36,111311.282434432,0,3109.61638324199,3320.5488114433,1737.02724570456,0,369.685761151331,0,572,3320.5488114433,4.62283657415349,31.3915244822892,12.3000899183237,9.84007193465893,783.977009220397,17335.4282637903,854.630622769273,1652.29342843803,379.204760221994,0.778707871424831,29,0.737972302632619,0.671141391742089,-5.05599107745803,1.85270989656724,23367.8551618511,16.9617978592732,58.1078664082736,0.984056218704185,0.980536242330821,1311,3,1526.09481750325,3815.23704375814,20.5360824742268,5,0.56701030927835,105
0.337899543378995,11.6511944293743,20.4983139465856,15765.4904714444,18290.2722555701,81165.0968411577,0.568397696500061,0.454389363836587,3206.88767919165,98,1216,32,31,109596.70218252,0,3126.81307166076,3329.06698551147,1714.58025191202,0,353.857108684997,0,575,3329.06698551147,4.43502668064392,29.9387405819359,12.6702153037928,10.1361722430343,774.385718687956,17358.6468828658,846.832911628675,1593.15641142138,350.578944457587,0.763898211391313,28,0.753362731010493,0.68606637697743,2.22382130188685,-0.920663046581065,22979.5410480567,16.9826052119118,59.7037353556504,0.983780208523641,0.979693986783784,1314,3,1512.32633806131,3780.81584515327,20.7857142857143,6,0.571428571428571,106
0.292331055429005,11.6710172528614,20.8240687841585,16052.5033136818,17197.3948835798,83374.3178903408,0.560458062918996,0.463742460553537,3312.54995180634,100,1217,32,30,108421.140015703,0,3268.54270192118,2942.02399354069,1175.56216681618,0,360.689949842847,0,516,2942.02399354069,4.04953018916808,28.4976170866208,12.5321361947969,10.0257089558375,853.186951579217,17421.9995667127,836.628026313769,1369.49625303088,390.137619729829,0.783677829932082,28,0.718550684759193,0.751812912692223,9.58311585016736,2.52309191529919,21351.7259981585,15.5238318680478,60.8475695701162,0.983737546179126,0.976211363518348,1317,3,1502.08087519667,3755.20218799166,21.01,6.5,0.57,107
0.279545454545455,11.8064465693595,21.069698244881,16178.4515445635,33128.3287169288,68485.9492678901,0.560351953413852,0.445092659644105,3454.24104363336,99,1221,33,34,107191.491764672,0,3280.65870025354,3017.71694584307,1229.64825103143,0,334.557847188648,16728.4900122013,528,3017.71694584307,6.05321968959099,51.6129943109684,12.5918982742376,10.0735186193901,858.483965807428,17555.2941309392,833.201022952684,1376.84258637565,435.289624397202,0.796535974424403,25,0.715852291958202,0.728253778018839,-3.13364326093029,3.56576562699289,22215.4035212503,16.2119949469785,62.3670844782948,0.983100024804007,0.976757449766905,1320,3,1492.5900054419,3731.47501360476,21.7878787878788,8,0.555555555555556,108
